LAV,LIVING ARRANGEMET VALUE QUALITATIVE,LAT,LIVING ARRANGEMENT TYPE QUALITATIVE
344,Partner+Sibling+Grandchild+Non-relative,42,With partner extended composite
345,Father+Partner+Sibling+Grandchild+Non-relative,42,With partner extended composite
346,Mother+Partner+Sibling+Grandchild+Non-relative,42,With partner extended composite
347,Father+Mother+Partner+Sibling+Grandchild+Non-relative,42,With partner extended composite
348,Child+Partner+Sibling+Grandchild+Non-relative,52,With partner and children extended composite
349,Father+Child+Partner+Sibling+Grandchild+Non-relative,52,With partner and children extended composite
350,Mother+Child+Partner+Sibling+Grandchild+Non-relative,52,With partner and children extended composite
351,Father+Mother+Child+Partner+Sibling+Grandchild+Non-relative,52,With partner and children extended composite
352,Grandaparent+Grandchild+Non-relative,71,Extended composite
353,Father+Grandaparent+Grandchild+Non-relative,22,With single parent extended composite
354,Mother+Grandaparent+Grandchild+Non-relative,22,With single parent extended composite
355,Father+Mother+Grandaparent+Grandchild+Non-relative,32,With parents extended composite
356,Child+Grandaparent+Grandchild+Non-relative,62,With children extended composite
357,Father+Child+Grandaparent+Grandchild+Non-relative,62,With children extended composite
358,Mother+Child+Grandaparent+Grandchild+Non-relative,62,With children extended composite
359,Father+Mother+Child+Grandaparent+Grandchild+Non-relative,62,With children extended composite
360,Partner+Grandaparent+Grandchild+Non-relative,42,With partner extended composite
361,Father+Partner+Grandaparent+Grandchild+Non-relative,42,With partner extended composite
362,Mother+Partner+Grandaparent+Grandchild+Non-relative,42,With partner extended composite
363,Father+Mother+Partner+Grandaparent+Grandchild+Non-relative,42,With partner extended composite
364,Child+Partner+Grandaparent+Grandchild+Non-relative,52,With partner and children extended composite
365,Father+Child+Partner+Grandaparent+Grandchild+Non-relative,52,With partner and children extended composite
366,Mother+Child+Partner+Grandaparent+Grandchild+Non-relative,52,With partner and children extended composite
367,Father+Mother+Child+Partner+Grandaparent+Grandchild+Non-relative,52,With partner and children extended composite
368,Sibling+Grandaparent+Grandchild+Non-relative,71,Extended composite
369,Father+Sibling+Grandaparent+Grandchild+Non-relative,22,With single parent extended composite
370,Mother+Sibling+Grandaparent+Grandchild+Non-relative,22,With single parent extended composite
371,Father+Mother+Sibling+Grandaparent+Grandchild+Non-relative,32,With parents extended composite
372,Child+Sibling+Grandaparent+Grandchild+Non-relative,62,With children extended composite
373,Father+Child+Sibling+Grandaparent+Grandchild+Non-relative,62,With children extended composite
374,Mother+Child+Sibling+Grandaparent+Grandchild+Non-relative,62,With children extended composite
375,Father+Mother+Child+Sibling+Grandaparent+Grandchild+Non-relative,62,With children extended composite
376,Partner+Sibling+Grandaparent+Grandchild+Non-relative,42,With partner extended composite
377,Father+Partner+Sibling+Grandaparent+Grandchild+Non-relative,42,With partner extended composite
378,Mother+Partner+Sibling+Grandaparent+Grandchild+Non-relative,42,With partner extended composite
379,Father+Mother+Partner+Sibling+Grandaparent+Grandchild+Non-relative,42,With partner extended composite
380,Child+Partner+Sibling+Grandaparent+Grandchild+Non-relative,52,With partner and children extended composite
381,Father+Child+Partner+Sibling+Grandaparent+Grandchild+Non-relative,52,With partner and children extended composite
382,Mother+Child+Partner+Sibling+Grandaparent+Grandchild+Non-relative,52,With partner and children extended composite
383,Father+Mother+Child+Partner+Sibling+Grandaparent+Grandchild+Non-relative,52,With partner and children extended composite
384,Other relative+Non-relative,71,Extended composite
385,Father+Other relative+Non-relative,22,With single parent extended composite
386,Mother+Other relative+Non-relative,22,With single parent extended composite
387,Father+Mother+Other relative+Non-relative,32,With parents extended composite
388,Child+Other relative+Non-relative,62,With children extended composite
389,Father+Child+Other relative+Non-relative,62,With children extended composite
390,Mother+Child+Other relative+Non-relative,62,With children extended composite
391,Father+Mother+Child+Other relative+Non-relative,62,With children extended composite
392,Partner+Other relative+Non-relative,42,With partner extended composite
393,Father+Partner+Other relative+Non-relative,42,With partner extended composite
394,Mother+Partner+Other relative+Non-relative,42,With partner extended composite
395,Father+Mother+Partner+Other relative+Non-relative,42,With partner extended composite
396,Child+Partner+Other relative+Non-relative,52,With partner and children extended composite
397,Father+Child+Partner+Other relative+Non-relative,52,With partner and children extended composite
398,Mother+Child+Partner+Other relative+Non-relative,52,With partner and children extended composite
399,Father+Mother+Child+Partner+Other relative+Non-relative,52,With partner and children extended composite
400,Sibling+Other relative+Non-relative,71,Extended composite
401,Father+Sibling+Other relative+Non-relative,22,With single parent extended composite
402,Mother+Sibling+Other relative+Non-relative,22,With single parent extended composite
403,Father+Mother+Sibling+Other relative+Non-relative,32,With parents extended composite
404,Child+Sibling+Other relative+Non-relative,62,With children extended composite
405,Father+Child+Sibling+Other relative+Non-relative,62,With children extended composite
406,Mother+Child+Sibling+Other relative+Non-relative,62,With children extended composite
407,Father+Mother+Child+Sibling+Other relative+Non-relative,62,With children extended composite
408,Partner+Sibling+Other relative+Non-relative,42,With partner extended composite
409,Father+Partner+Sibling+Other relative+Non-relative,42,With partner extended composite
410,Mother+Partner+Sibling+Other relative+Non-relative,42,With partner extended composite
411,Father+Mother+Partner+Sibling+Other relative+Non-relative,42,With partner extended composite
412,Child+Partner+Sibling+Other relative+Non-relative,52,With partner and children extended composite
413,Father+Child+Partner+Sibling+Other relative+Non-relative,52,With partner and children extended composite
414,Mother+Child+Partner+Sibling+Other relative+Non-relative,52,With partner and children extended composite
415,Father+Mother+Child+Partner+Sibling+Other relative+Non-relative,52,With partner and children extended composite
416,Grandaparent+Other relative+Non-relative,71,Extended composite
417,Father+Grandaparent+Other relative+Non-relative,22,With single parent extended composite
418,Mother+Grandaparent+Other relative+Non-relative,22,With single parent extended composite
419,Father+Mother+Grandaparent+Other relative+Non-relative,32,With parents extended composite
420,Child+Grandaparent+Other relative+Non-relative,62,With children extended composite
421,Father+Child+Grandaparent+Other relative+Non-relative,62,With children extended composite
422,Mother+Child+Grandaparent+Other relative+Non-relative,62,With children extended composite
423,Father+Mother+Child+Grandaparent+Other relative+Non-relative,62,With children extended composite
424,Partner+Grandaparent+Other relative+Non-relative,42,With partner extended composite
425,Father+Partner+Grandaparent+Other relative+Non-relative,42,With partner extended composite
426,Mother+Partner+Grandaparent+Other relative+Non-relative,42,With partner extended composite
427,Father+Mother+Partner+Grandaparent+Other relative+Non-relative,42,With partner extended composite
428,Child+Partner+Grandaparent+Other relative+Non-relative,52,With partner and children extended composite
429,Father+Child+Partner+Grandaparent+Other relative+Non-relative,52,With partner and children extended composite
430,Mother+Child+Partner+Grandaparent+Other relative+Non-relative,52,With partner and children extended composite
431,Father+Mother+Child+Partner+Grandaparent+Other relative+Non-relative,52,With partner and children extended composite
432,Sibling+Grandaparent+Other relative+Non-relative,71,Extended composite
433,Father+Sibling+Grandaparent+Other relative+Non-relative,22,With single parent extended composite
434,Mother+Sibling+Grandaparent+Other relative+Non-relative,22,With single parent extended composite
435,Father+Mother+Sibling+Grandaparent+Other relative+Non-relative,32,With parents extended composite
436,Child+Sibling+Grandaparent+Other relative+Non-relative,61,With children extended
437,Father+Child+Sibling+Grandaparent+Other relative+Non-relative,62,With children extended composite
438,Mother+Child+Sibling+Grandaparent+Other relative+Non-relative,62,With children extended composite
439,Father+Mother+Child+Sibling+Grandaparent+Other relative+Non-relative,62,With children extended composite
440,Partner+Sibling+Grandaparent+Other relative+Non-relative,42,With partner extended composite
441,Father+Partner+Sibling+Grandaparent+Other relative+Non-relative,42,With partner extended composite
442,Mother+Partner+Sibling+Grandaparent+Other relative+Non-relative,42,With partner extended composite
443,Father+Mother+Partner+Sibling+Grandaparent+Other relative+Non-relative,42,With partner extended composite
