GELAI,GELAIQ,LA,LAQ
444,Child+Partner+Sibling+Grandaparent+Other relative+Non-relative,52,With partner and children extended mix
445,Father+Child+Partner+Sibling+Grandaparent+Other relative+Non-relative,52,With partner and children extended mix
446,Mother+Child+Partner+Sibling+Grandaparent+Other relative+Non-relative,52,With partner and children extended mix
447,Father+Mother+Child+Partner+Sibling+Grandaparent+Other relative+Non-relative,52,With partner and children extended mix
448,Grandchild+Other relative+Non-relative,71,Extended mix
449,Father+Grandchild+Other relative+Non-relative,22,With single parent extended mix
450,Mother+Grandchild+Other relative+Non-relative,22,With single parent extended mix
451,Father+Mother+Grandchild+Other relative+Non-relative,32,With parents extended mix
452,Child+Grandchild+Other relative+Non-relative,62,With children extended mix
453,Father+Child+Grandchild+Other relative+Non-relative,62,With children extended mix
454,Mother+Child+Grandchild+Other relative+Non-relative,62,With children extended mix
455,Father+Mother+Child+Grandchild+Other relative+Non-relative,62,With children extended mix
456,Partner+Grandchild+Other relative+Non-relative,42,With partner extended mix
457,Father+Partner+Grandchild+Other relative+Non-relative,42,With partner extended mix
458,Mother+Partner+Grandchild+Other relative+Non-relative,42,With partner extended mix
459,Father+Mother+Partner+Grandchild+Other relative+Non-relative,42,With partner extended mix
460,Child+Partner+Grandchild+Other relative+Non-relative,52,With partner and children extended mix
461,Father+Child+Partner+Grandchild+Other relative+Non-relative,52,With partner and children extended mix
462,Mother+Child+Partner+Grandchild+Other relative+Non-relative,51,With partner and children extended
463,Father+Mother+Child+Partner+Grandchild+Other relative+Non-relative,52,With partner and children extended mix
464,Sibling+Grandchild+Other relative+Non-relative,71,Extended mix
465,Father+Sibling+Grandchild+Other relative+Non-relative,22,With single parent extended mix
466,Mother+Sibling+Grandchild+Other relative+Non-relative,22,With single parent extended mix
467,Father+Mother+Sibling+Grandchild+Other relative+Non-relative,32,With parents extended mix
468,Child+Sibling+Grandchild+Other relative+Non-relative,62,With children extended mix
469,Father+Child+Sibling+Grandchild+Other relative+Non-relative,62,With children extended mix
470,Mother+Child+Sibling+Grandchild+Other relative+Non-relative,62,With children extended mix
471,Father+Mother+Child+Sibling+Grandchild+Other relative+Non-relative,62,With children extended mix
472,Partner+Sibling+Grandchild+Other relative+Non-relative,42,With partner extended mix
473,Father+Partner+Sibling+Grandchild+Other relative+Non-relative,42,With partner extended mix
474,Mother+Partner+Sibling+Grandchild+Other relative+Non-relative,42,With partner extended mix
475,Father+Mother+Partner+Sibling+Grandchild+Other relative+Non-relative,42,With partner extended mix
476,Child+Partner+Sibling+Grandchild+Other relative+Non-relative,52,With partner and children extended mix
477,Father+Child+Partner+Sibling+Grandchild+Other relative+Non-relative,52,With partner and children extended mix
478,Mother+Child+Partner+Sibling+Grandchild+Other relative+Non-relative,52,With partner and children extended mix
479,Father+Mother+Child+Partner+Sibling+Grandchild+Other relative+Non-relative,52,With partner and children extended mix
480,Grandaparent+Grandchild+Other relative+Non-relative,71,Extended mix
481,Father+Grandaparent+Grandchild+Other relative+Non-relative,22,With single parent extended mix
482,Mother+Grandaparent+Grandchild+Other relative+Non-relative,22,With single parent extended mix
483,Father+Mother+Grandaparent+Grandchild+Other relative+Non-relative,32,With parents extended mix
484,Child+Grandaparent+Grandchild+Other relative+Non-relative,62,With children extended mix
485,Father+Child+Grandaparent+Grandchild+Other relative+Non-relative,62,With children extended mix
486,Mother+Child+Grandaparent+Grandchild+Other relative+Non-relative,62,With children extended mix
487,Father+Mother+Child+Grandaparent+Grandchild+Other relative+Non-relative,62,With children extended mix
488,Partner+Grandaparent+Grandchild+Other relative+Non-relative,42,With partner extended mix
489,Father+Partner+Grandaparent+Grandchild+Other relative+Non-relative,42,With partner extended mix
490,Mother+Partner+Grandaparent+Grandchild+Other relative+Non-relative,42,With partner extended mix
491,Father+Mother+Partner+Grandaparent+Grandchild+Other relative+Non-relative,42,With partner extended mix
492,Child+Partner+Grandaparent+Grandchild+Other relative+Non-relative,52,With partner and children extended mix
493,Father+Child+Partner+Grandaparent+Grandchild+Other relative+Non-relative,52,With partner and children extended mix
494,Mother+Child+Partner+Grandaparent+Grandchild+Other relative+Non-relative,52,With partner and children extended mix
495,Father+Mother+Child+Partner+Grandaparent+Grandchild+Other relative+Non-relative,52,With partner and children extended mix
496,Sibling+Grandaparent+Grandchild+Other relative+Non-relative,71,Extended mix
497,Father+Sibling+Grandaparent+Grandchild+Other relative+Non-relative,22,With single parent extended mix
498,Mother+Sibling+Grandaparent+Grandchild+Other relative+Non-relative,22,With single parent extended mix
499,Father+Mother+Sibling+Grandaparent+Grandchild+Other relative+Non-relative,32,With parents extended mix
500,Child+Sibling+Grandaparent+Grandchild+Other relative+Non-relative,62,With children extended mix
501,Father+Child+Sibling+Grandaparent+Grandchild+Other relative+Non-relative,62,With children extended mix
502,Mother+Child+Sibling+Grandaparent+Grandchild+Other relative+Non-relative,62,With children extended mix
503,Father+Mother+Child+Sibling+Grandaparent+Grandchild+Other relative+Non-relative,62,With children extended mix
504,Partner+Sibling+Grandaparent+Grandchild+Other relative+Non-relative,42,With partner extended mix
505,Father+Partner+Sibling+Grandaparent+Grandchild+Other relative+Non-relative,42,With partner extended mix
506,Mother+Partner+Sibling+Grandaparent+Grandchild+Other relative+Non-relative,42,With partner extended mix
507,Father+Mother+Partner+Sibling+Grandaparent+Grandchild+Other relative+Non-relative,42,With partner extended mix
508,Child+Partner+Sibling+Grandaparent+Grandchild+Other relative+Non-relative,52,With partner and children extended mix
509,Father+Child+Partner+Sibling+Grandaparent+Grandchild+Other relative+Non-relative,52,With partner and children extended mix
510,Mother+Child+Partner+Sibling+Grandaparent+Grandchild+Other relative+Non-relative,52,With partner and children extended mix
511,Father+Mother+Child+Partner+Sibling+Grandaparent+Grandchild+Other relative+Non-relative,52,With partner and children extended mix
