LAV,LAVQ,LAT,LATQ,Father,Mother,Sibling,Granchild,Granparent,Other relative,Non-relative,LAI
19,Father+Mother+Sibling,30,With parents,1,2,3,0,0,0,0,301230000
35,Father+Mother+Grandaparent,31,With parents extended,1,2,0,0,5,0,0,311200500
99,Father+Mother+Grandaparent+Grandchild,31,With parents extended,1,2,0,4,5,0,0,311204500
227,Father+Mother+Grandaparent+Grandchild+Other relative,31,With parents extended,1,2,0,4,5,6,0,311204560
163,Father+Mother+Grandaparent+Other relative,31,With parents extended,1,2,0,0,5,6,0,311200560
67,Father+Mother+Grandchild,31,With parents extended,1,2,0,4,0,0,0,311204000
195,Father+Mother+Grandchild+Other relative,31,With parents extended,1,2,0,4,0,6,0,311204060
131,Father+Mother+Other relative,31,With parents extended,1,2,0,0,0,6,0,311200060
51,Father+Mother+Sibling+Grandaparent,31,With parents extended,1,2,3,0,5,0,0,311230500
115,Father+Mother+Sibling+Grandaparent+Grandchild,31,With parents extended,1,2,3,4,5,0,0,311234500
243,Father+Mother+Sibling+Grandaparent+Grandchild+Other relative,31,With parents extended,1,2,3,4,5,6,0,311234560
179,Father+Mother+Sibling+Grandaparent+Other relative,31,With parents extended,1,2,3,0,5,6,0,311230560
83,Father+Mother+Sibling+Grandchild,31,With parents extended,1,2,3,4,0,0,0,311234000
211,Father+Mother+Sibling+Grandchild+Other relative,31,With parents extended,1,2,3,4,0,6,0,311234060
147,Father+Mother+Sibling+Other relative,31,With parents extended,1,2,3,0,0,6,0,311230060
355,Father+Mother+Grandaparent+Grandchild+Non-relative,32,With parents extended composite,1,2,0,4,5,0,7,321204507
483,Father+Mother+Grandaparent+Grandchild+Other relative+Non-relative,32,With parents extended composite,1,2,0,4,5,6,7,321204567
291,Father+Mother+Grandaparent+Non-relative,32,With parents extended composite,1,2,0,0,5,0,7,321200507
419,Father+Mother+Grandaparent+Other relative+Non-relative,32,With parents extended composite,1,2,0,0,5,6,7,321200567
323,Father+Mother+Grandchild+Non-relative,32,With parents extended composite,1,2,0,4,0,0,7,321204007
451,Father+Mother+Grandchild+Other relative+Non-relative,32,With parents extended composite,1,2,0,4,0,6,7,321204067
259,Father+Mother+Non-relative,32,With parents extended composite,1,2,0,0,0,0,7,321200007
387,Father+Mother+Other relative+Non-relative,32,With parents extended composite,1,2,0,0,0,6,7,321200067
371,Father+Mother+Sibling+Grandaparent+Grandchild+Non-relative,32,With parents extended composite,1,2,3,4,5,0,7,321234507
499,Father+Mother+Sibling+Grandaparent+Grandchild+Other relative+Non-relative,32,With parents extended composite,1,2,3,4,5,6,7,321234567
307,Father+Mother+Sibling+Grandaparent+Non-relative,32,With parents extended composite,1,2,3,0,5,0,7,321230507
435,Father+Mother+Sibling+Grandaparent+Other relative+Non-relative,32,With parents extended composite,1,2,3,0,5,6,7,321230567
339,Father+Mother+Sibling+Grandchild+Non-relative,32,With parents extended composite,1,2,3,4,0,0,7,321234007
467,Father+Mother+Sibling+Grandchild+Other relative+Non-relative,32,With parents extended composite,1,2,3,4,0,6,7,321234067
275,Father+Mother+Sibling+Non-relative,32,With parents extended composite,1,2,3,0,0,0,7,321230007
403,Father+Mother+Sibling+Other relative+Non-relative,32,With parents extended composite,1,2,3,0,0,6,7,321230067
8,Partner,40,With partner,0,0,0,0,0,0,0,400000000
11,Father+Mother+Partner,41,With partner extended,1,2,0,0,0,0,0,411200000
43,Father+Mother+Partner+Grandaparent,41,With partner extended,1,2,0,0,5,0,0,411200500
107,Father+Mother+Partner+Grandaparent+Grandchild,41,With partner extended,1,2,0,4,5,0,0,411204500
235,Father+Mother+Partner+Grandaparent+Grandchild+Other relative,41,With partner extended,1,2,0,4,5,6,0,411204560
171,Father+Mother+Partner+Grandaparent+Other relative,41,With partner extended,1,2,0,0,5,6,0,411200560
75,Father+Mother+Partner+Grandchild,41,With partner extended,1,2,0,4,0,0,0,411204000
203,Father+Mother+Partner+Grandchild+Other relative,41,With partner extended,1,2,0,4,0,6,0,411204060
139,Father+Mother+Partner+Other relative,41,With partner extended,1,2,0,0,0,6,0,411200060
27,Father+Mother+Partner+Sibling,41,With partner extended,1,2,3,0,0,0,0,411230000
59,Father+Mother+Partner+Sibling+Grandaparent,41,With partner extended,1,2,3,0,5,0,0,411230500
123,Father+Mother+Partner+Sibling+Grandaparent+Grandchild,41,With partner extended,1,2,3,4,5,0,0,411234500
251,Father+Mother+Partner+Sibling+Grandaparent+Grandchild+Other relative,41,With partner extended,1,2,3,4,5,6,0,411234560
187,Father+Mother+Partner+Sibling+Grandaparent+Other relative,41,With partner extended,1,2,3,0,5,6,0,411230560
91,Father+Mother+Partner+Sibling+Grandchild,41,With partner extended,1,2,3,4,0,0,0,411234000
219,Father+Mother+Partner+Sibling+Grandchild+Other relative,41,With partner extended,1,2,3,4,0,6,0,411234060
155,Father+Mother+Partner+Sibling+Other relative,41,With partner extended,1,2,3,0,0,6,0,411230060
9,Father+Partner,41,With partner extended,1,0,0,0,0,0,0,411000000
41,Father+Partner+Grandaparent,41,With partner extended,1,0,0,0,5,0,0,411000500
105,Father+Partner+Grandaparent+Grandchild,41,With partner extended,1,0,0,4,5,0,0,411004500
233,Father+Partner+Grandaparent+Grandchild+Other relative,41,With partner extended,1,0,0,4,5,6,0,411004560
169,Father+Partner+Grandaparent+Other relative,41,With partner extended,1,0,0,0,5,6,0,411000560
73,Father+Partner+Grandchild,41,With partner extended,1,0,0,4,0,0,0,411004000
201,Father+Partner+Grandchild+Other relative,41,With partner extended,1,0,0,4,0,6,0,411004060
137,Father+Partner+Other relative,41,With partner extended,1,0,0,0,0,6,0,411000060
25,Father+Partner+Sibling,41,With partner extended,1,0,3,0,0,0,0,411030000
57,Father+Partner+Sibling+Grandaparent,41,With partner extended,1,0,3,0,5,0,0,411030500
121,Father+Partner+Sibling+Grandaparent+Grandchild,41,With partner extended,1,0,3,4,5,0,0,411034500
249,Father+Partner+Sibling+Grandaparent+Grandchild+Other relative,41,With partner extended,1,0,3,4,5,6,0,411034560
185,Father+Partner+Sibling+Grandaparent+Other relative,41,With partner extended,1,0,3,0,5,6,0,411030560
89,Father+Partner+Sibling+Grandchild,41,With partner extended,1,0,3,4,0,0,0,411034000
217,Father+Partner+Sibling+Grandchild+Other relative,41,With partner extended,1,0,3,4,0,6,0,411034060
153,Father+Partner+Sibling+Other relative,41,With partner extended,1,0,3,0,0,6,0,411030060
10,Mother+Partner,41,With partner extended,0,2,0,0,0,0,0,410200000
42,Mother+Partner+Grandaparent,41,With partner extended,0,2,0,0,5,0,0,410200500
106,Mother+Partner+Grandaparent+Grandchild,41,With partner extended,0,2,0,4,5,0,0,410204500
234,Mother+Partner+Grandaparent+Grandchild+Other relative,41,With partner extended,0,2,0,4,5,6,0,410204560
170,Mother+Partner+Grandaparent+Other relative,41,With partner extended,0,2,0,0,5,6,0,410200560
74,Mother+Partner+Grandchild,41,With partner extended,0,2,0,4,0,0,0,410204000
202,Mother+Partner+Grandchild+Other relative,41,With partner extended,0,2,0,4,0,6,0,410204060
138,Mother+Partner+Other relative,41,With partner extended,0,2,0,0,0,6,0,410200060
26,Mother+Partner+Sibling,41,With partner extended,0,2,3,0,0,0,0,410230000
58,Mother+Partner+Sibling+Grandaparent,41,With partner extended,0,2,3,0,5,0,0,410230500
122,Mother+Partner+Sibling+Grandaparent+Grandchild,41,With partner extended,0,2,3,4,5,0,0,410234500
250,Mother+Partner+Sibling+Grandaparent+Grandchild+Other relative,41,With partner extended,0,2,3,4,5,6,0,410234560
186,Mother+Partner+Sibling+Grandaparent+Other relative,41,With partner extended,0,2,3,0,5,6,0,410230560
90,Mother+Partner+Sibling+Grandchild,41,With partner extended,0,2,3,4,0,0,0,410234000
218,Mother+Partner+Sibling+Grandchild+Other relative,41,With partner extended,0,2,3,4,0,6,0,410234060
154,Mother+Partner+Sibling+Other relative,41,With partner extended,0,2,3,0,0,6,0,410230060
40,Partner+Grandaparent,41,With partner extended,0,0,0,0,5,0,0,410000500
104,Partner+Grandaparent+Grandchild,41,With partner extended,0,0,0,4,5,0,0,410004500
232,Partner+Grandaparent+Grandchild+Other relative,41,With partner extended,0,0,0,4,5,6,0,410004560
168,Partner+Grandaparent+Other relative,41,With partner extended,0,0,0,0,5,6,0,410000560
72,Partner+Grandchild,41,With partner extended,0,0,0,4,0,0,0,410004000
200,Partner+Grandchild+Other relative,41,With partner extended,0,0,0,4,0,6,0,410004060
136,Partner+Other relative,41,With partner extended,0,0,0,0,0,6,0,410000060
24,Partner+Sibling,41,With partner extended,0,0,3,0,0,0,0,410030000
56,Partner+Sibling+Grandaparent,41,With partner extended,0,0,3,0,5,0,0,410030500
120,Partner+Sibling+Grandaparent+Grandchild,41,With partner extended,0,0,3,4,5,0,0,410034500
248,Partner+Sibling+Grandaparent+Grandchild+Other relative,41,With partner extended,0,0,3,4,5,6,0,410034560
184,Partner+Sibling+Grandaparent+Other relative,41,With partner extended,0,0,3,0,5,6,0,410030560
88,Partner+Sibling+Grandchild,41,With partner extended,0,0,3,4,0,0,0,410034000
216,Partner+Sibling+Grandchild+Other relative,41,With partner extended,0,0,3,4,0,6,0,410034060
152,Partner+Sibling+Other relative,41,With partner extended,0,0,3,0,0,6,0,410030060
363,Father+Mother+Partner+Grandaparent+Grandchild+Non-relative,42,With partner extended composite,1,2,0,4,5,0,7,421204507
491,Father+Mother+Partner+Grandaparent+Grandchild+Other relative+Non-relative,42,With partner extended composite,1,2,0,4,5,6,7,421204567
