LAV,LAVQ,LAT,LATQ,Father,Mother,Sibling,Granchild,Granparent,Other relative,Non-relative,LAI
14,Mother+Child+Partner,51,With partner and children extended,0,2,0,0,0,0,0,510200000
46,Mother+Child+Partner+Grandaparent,51,With partner and children extended,0,2,0,0,5,0,0,510200500
110,Mother+Child+Partner+Grandaparent+Grandchild,51,With partner and children extended,0,2,0,4,5,0,0,510204500
238,Mother+Child+Partner+Grandaparent+Grandchild+Other relative,51,With partner and children extended,0,2,0,4,5,6,0,510204560
174,Mother+Child+Partner+Grandaparent+Other relative,51,With partner and children extended,0,2,0,0,5,6,0,510200560
78,Mother+Child+Partner+Grandchild,51,With partner and children extended,0,2,0,4,0,0,0,510204000
206,Mother+Child+Partner+Grandchild+Other relative,51,With partner and children extended,0,2,0,4,0,6,0,510204060
462,Mother+Child+Partner+Grandchild+Other relative+Non-relative,51,With partner and children extended,0,2,0,4,0,6,7,510204067
142,Mother+Child+Partner+Other relative,51,With partner and children extended,0,2,0,0,0,6,0,510200060
30,Mother+Child+Partner+Sibling,51,With partner and children extended,0,2,3,0,0,0,0,510230000
62,Mother+Child+Partner+Sibling+Grandaparent,51,With partner and children extended,0,2,3,0,5,0,0,510230500
126,Mother+Child+Partner+Sibling+Grandaparent+Grandchild,51,With partner and children extended,0,2,3,4,5,0,0,510234500
254,Mother+Child+Partner+Sibling+Grandaparent+Grandchild+Other relative,51,With partner and children extended,0,2,3,4,5,6,0,510234560
190,Mother+Child+Partner+Sibling+Grandaparent+Other relative,51,With partner and children extended,0,2,3,0,5,6,0,510230560
94,Mother+Child+Partner+Sibling+Grandchild,51,With partner and children extended,0,2,3,4,0,0,0,510234000
222,Mother+Child+Partner+Sibling+Grandchild+Other relative,51,With partner and children extended,0,2,3,4,0,6,0,510234060
158,Mother+Child+Partner+Sibling+Other relative,51,With partner and children extended,0,2,3,0,0,6,0,510230060
364,Child+Partner+Grandaparent+Grandchild+Non-relative,52,With partner and children extended composite,0,0,0,4,5,0,7,520004507
492,Child+Partner+Grandaparent+Grandchild+Other relative+Non-relative,52,With partner and children extended composite,0,0,0,4,5,6,7,520004567
300,Child+Partner+Grandaparent+Non-relative,52,With partner and children extended composite,0,0,0,0,5,0,7,520000507
428,Child+Partner+Grandaparent+Other relative+Non-relative,52,With partner and children extended composite,0,0,0,0,5,6,7,520000567
332,Child+Partner+Grandchild+Non-relative,52,With partner and children extended composite,0,0,0,4,0,0,7,520004007
460,Child+Partner+Grandchild+Other relative+Non-relative,52,With partner and children extended composite,0,0,0,4,0,6,7,520004067
268,Child+Partner+Non-relative,52,With partner and children extended composite,0,0,0,0,0,0,7,520000007
396,Child+Partner+Other relative+Non-relative,52,With partner and children extended composite,0,0,0,0,0,6,7,520000067
380,Child+Partner+Sibling+Grandaparent+Grandchild+Non-relative,52,With partner and children extended composite,0,0,3,4,5,0,7,520034507
508,Child+Partner+Sibling+Grandaparent+Grandchild+Other relative+Non-relative,52,With partner and children extended composite,0,0,3,4,5,6,7,520034567
316,Child+Partner+Sibling+Grandaparent+Non-relative,52,With partner and children extended composite,0,0,3,0,5,0,7,520030507
444,Child+Partner+Sibling+Grandaparent+Other relative+Non-relative,52,With partner and children extended composite,0,0,3,0,5,6,7,520030567
348,Child+Partner+Sibling+Grandchild+Non-relative,52,With partner and children extended composite,0,0,3,4,0,0,7,520034007
476,Child+Partner+Sibling+Grandchild+Other relative+Non-relative,52,With partner and children extended composite,0,0,3,4,0,6,7,520034067
284,Child+Partner+Sibling+Non-relative,52,With partner and children extended composite,0,0,3,0,0,0,7,520030007
412,Child+Partner+Sibling+Other relative+Non-relative,52,With partner and children extended composite,0,0,3,0,0,6,7,520030067
365,Father+Child+Partner+Grandaparent+Grandchild+Non-relative,52,With partner and children extended composite,1,0,0,4,5,0,7,521004507
493,Father+Child+Partner+Grandaparent+Grandchild+Other relative+Non-relative,52,With partner and children extended composite,1,0,0,4,5,6,7,521004567
301,Father+Child+Partner+Grandaparent+Non-relative,52,With partner and children extended composite,1,0,0,0,5,0,7,521000507
429,Father+Child+Partner+Grandaparent+Other relative+Non-relative,52,With partner and children extended composite,1,0,0,0,5,6,7,521000567
333,Father+Child+Partner+Grandchild+Non-relative,52,With partner and children extended composite,1,0,0,4,0,0,7,521004007
461,Father+Child+Partner+Grandchild+Other relative+Non-relative,52,With partner and children extended composite,1,0,0,4,0,6,7,521004067
269,Father+Child+Partner+Non-relative,52,With partner and children extended composite,1,0,0,0,0,0,7,521000007
397,Father+Child+Partner+Other relative+Non-relative,52,With partner and children extended composite,1,0,0,0,0,6,7,521000067
381,Father+Child+Partner+Sibling+Grandaparent+Grandchild+Non-relative,52,With partner and children extended composite,1,0,3,4,5,0,7,521034507
509,Father+Child+Partner+Sibling+Grandaparent+Grandchild+Other relative+Non-relative,52,With partner and children extended composite,1,0,3,4,5,6,7,521034567
317,Father+Child+Partner+Sibling+Grandaparent+Non-relative,52,With partner and children extended composite,1,0,3,0,5,0,7,521030507
445,Father+Child+Partner+Sibling+Grandaparent+Other relative+Non-relative,52,With partner and children extended composite,1,0,3,0,5,6,7,521030567
349,Father+Child+Partner+Sibling+Grandchild+Non-relative,52,With partner and children extended composite,1,0,3,4,0,0,7,521034007
477,Father+Child+Partner+Sibling+Grandchild+Other relative+Non-relative,52,With partner and children extended composite,1,0,3,4,0,6,7,521034067
285,Father+Child+Partner+Sibling+Non-relative,52,With partner and children extended composite,1,0,3,0,0,0,7,521030007
413,Father+Child+Partner+Sibling+Other relative+Non-relative,52,With partner and children extended composite,1,0,3,0,0,6,7,521030067
367,Father+Mother+Child+Partner+Grandaparent+Grandchild+Non-relative,52,With partner and children extended composite,1,2,0,4,5,0,7,521204507
495,Father+Mother+Child+Partner+Grandaparent+Grandchild+Other relative+Non-relative,52,With partner and children extended composite,1,2,0,4,5,6,7,521204567
303,Father+Mother+Child+Partner+Grandaparent+Non-relative,52,With partner and children extended composite,1,2,0,0,5,0,7,521200507
431,Father+Mother+Child+Partner+Grandaparent+Other relative+Non-relative,52,With partner and children extended composite,1,2,0,0,5,6,7,521200567
335,Father+Mother+Child+Partner+Grandchild+Non-relative,52,With partner and children extended composite,1,2,0,4,0,0,7,521204007
463,Father+Mother+Child+Partner+Grandchild+Other relative+Non-relative,52,With partner and children extended composite,1,2,0,4,0,6,7,521204067
271,Father+Mother+Child+Partner+Non-relative,52,With partner and children extended composite,1,2,0,0,0,0,7,521200007
399,Father+Mother+Child+Partner+Other relative+Non-relative,52,With partner and children extended composite,1,2,0,0,0,6,7,521200067
383,Father+Mother+Child+Partner+Sibling+Grandaparent+Grandchild+Non-relative,52,With partner and children extended composite,1,2,3,4,5,0,7,521234507
511,Father+Mother+Child+Partner+Sibling+Grandaparent+Grandchild+Other relative+Non-relative,52,With partner and children extended composite,1,2,3,4,5,6,7,521234567
319,Father+Mother+Child+Partner+Sibling+Grandaparent+Non-relative,52,With partner and children extended composite,1,2,3,0,5,0,7,521230507
447,Father+Mother+Child+Partner+Sibling+Grandaparent+Other relative+Non-relative,52,With partner and children extended composite,1,2,3,0,5,6,7,521230567
351,Father+Mother+Child+Partner+Sibling+Grandchild+Non-relative,52,With partner and children extended composite,1,2,3,4,0,0,7,521234007
479,Father+Mother+Child+Partner+Sibling+Grandchild+Other relative+Non-relative,52,With partner and children extended composite,1,2,3,4,0,6,7,521234067
287,Father+Mother+Child+Partner+Sibling+Non-relative,52,With partner and children extended composite,1,2,3,0,0,0,7,521230007
415,Father+Mother+Child+Partner+Sibling+Other relative+Non-relative,52,With partner and children extended composite,1,2,3,0,0,6,7,521230067
366,Mother+Child+Partner+Grandaparent+Grandchild+Non-relative,52,With partner and children extended composite,0,2,0,4,5,0,7,520204507
494,Mother+Child+Partner+Grandaparent+Grandchild+Other relative+Non-relative,52,With partner and children extended composite,0,2,0,4,5,6,7,520204567
302,Mother+Child+Partner+Grandaparent+Non-relative,52,With partner and children extended composite,0,2,0,0,5,0,7,520200507
430,Mother+Child+Partner+Grandaparent+Other relative+Non-relative,52,With partner and children extended composite,0,2,0,0,5,6,7,520200567
334,Mother+Child+Partner+Grandchild+Non-relative,52,With partner and children extended composite,0,2,0,4,0,0,7,520204007
270,Mother+Child+Partner+Non-relative,52,With partner and children extended composite,0,2,0,0,0,0,7,520200007
398,Mother+Child+Partner+Other relative+Non-relative,52,With partner and children extended composite,0,2,0,0,0,6,7,520200067
382,Mother+Child+Partner+Sibling+Grandaparent+Grandchild+Non-relative,52,With partner and children extended composite,0,2,3,4,5,0,7,520234507
510,Mother+Child+Partner+Sibling+Grandaparent+Grandchild+Other relative+Non-relative,52,With partner and children extended composite,0,2,3,4,5,6,7,520234567
318,Mother+Child+Partner+Sibling+Grandaparent+Non-relative,52,With partner and children extended composite,0,2,3,0,5,0,7,520230507
446,Mother+Child+Partner+Sibling+Grandaparent+Other relative+Non-relative,52,With partner and children extended composite,0,2,3,0,5,6,7,520230567
350,Mother+Child+Partner+Sibling+Grandchild+Non-relative,52,With partner and children extended composite,0,2,3,4,0,0,7,520234007
478,Mother+Child+Partner+Sibling+Grandchild+Other relative+Non-relative,52,With partner and children extended composite,0,2,3,4,0,6,7,520234067
286,Mother+Child+Partner+Sibling+Non-relative,52,With partner and children extended composite,0,2,3,0,0,0,7,520230007
414,Mother+Child+Partner+Sibling+Other relative+Non-relative,52,With partner and children extended composite,0,2,3,0,0,6,7,520230067
4,Child,60,With children,0,0,0,0,0,0,0,600000000
36,Child+Grandaparent,61,With children extended,0,0,0,0,5,0,0,610000500
100,Child+Grandaparent+Grandchild,61,With children extended,0,0,0,4,5,0,0,610004500
228,Child+Grandaparent+Grandchild+Other relative,61,With children extended,0,0,0,4,5,6,0,610004560
164,Child+Grandaparent+Other relative,61,With children extended,0,0,0,0,5,6,0,610000560
68,Child+Grandchild,61,With children extended,0,0,0,4,0,0,0,610004000
196,Child+Grandchild+Other relative,61,With children extended,0,0,0,4,0,6,0,610004060
132,Child+Other relative,61,With children extended,0,0,0,0,0,6,0,610000060
20,Child+Sibling,61,With children extended,0,0,3,0,0,0,0,610030000
52,Child+Sibling+Grandaparent,61,With children extended,0,0,3,0,5,0,0,610030500
116,Child+Sibling+Grandaparent+Grandchild,61,With children extended,0,0,3,4,5,0,0,610034500
244,Child+Sibling+Grandaparent+Grandchild+Other relative,61,With children extended,0,0,3,4,5,6,0,610034560
180,Child+Sibling+Grandaparent+Other relative,61,With children extended,0,0,3,0,5,6,0,610030560
436,Child+Sibling+Grandaparent+Other relative+Non-relative,61,With children extended,0,0,3,0,5,6,7,610030567
84,Child+Sibling+Grandchild,61,With children extended,0,0,3,4,0,0,0,610034000
212,Child+Sibling+Grandchild+Other relative,61,With children extended,0,0,3,4,0,6,0,610034060
148,Child+Sibling+Other relative,61,With children extended,0,0,3,0,0,6,0,610030060
5,Father+Child,61,With children extended,1,0,0,0,0,0,0,611000000
37,Father+Child+Grandaparent,61,With children extended,1,0,0,0,5,0,0,611000500
101,Father+Child+Grandaparent+Grandchild,61,With children extended,1,0,0,4,5,0,0,611004500
229,Father+Child+Grandaparent+Grandchild+Other relative,61,With children extended,1,0,0,4,5,6,0,611004560
165,Father+Child+Grandaparent+Other relative,61,With children extended,1,0,0,0,5,6,0,611000560
69,Father+Child+Grandchild,61,With children extended,1,0,0,4,0,0,0,611004000
197,Father+Child+Grandchild+Other relative,61,With children extended,1,0,0,4,0,6,0,611004060
133,Father+Child+Other relative,61,With children extended,1,0,0,0,0,6,0,611000060
21,Father+Child+Sibling,61,With children extended,1,0,3,0,0,0,0,611030000
53,Father+Child+Sibling+Grandaparent,61,With children extended,1,0,3,0,5,0,0,611030500
117,Father+Child+Sibling+Grandaparent+Grandchild,61,With children extended,1,0,3,4,5,0,0,611034500
245,Father+Child+Sibling+Grandaparent+Grandchild+Other relative,61,With children extended,1,0,3,4,5,6,0,611034560
181,Father+Child+Sibling+Grandaparent+Other relative,61,With children extended,1,0,3,0,5,6,0,611030560
85,Father+Child+Sibling+Grandchild,61,With children extended,1,0,3,4,0,0,0,611034000
213,Father+Child+Sibling+Grandchild+Other relative,61,With children extended,1,0,3,4,0,6,0,611034060
149,Father+Child+Sibling+Other relative,61,With children extended,1,0,3,0,0,6,0,611030060
7,Father+Mother+Child,61,With children extended,1,2,0,0,0,0,0,611200000
39,Father+Mother+Child+Grandaparent,61,With children extended,1,2,0,0,5,0,0,611200500
103,Father+Mother+Child+Grandaparent+Grandchild,61,With children extended,1,2,0,4,5,0,0,611204500
231,Father+Mother+Child+Grandaparent+Grandchild+Other relative,61,With children extended,1,2,0,4,5,6,0,611204560
167,Father+Mother+Child+Grandaparent+Other relative,61,With children extended,1,2,0,0,5,6,0,611200560
71,Father+Mother+Child+Grandchild,61,With children extended,1,2,0,4,0,0,0,611204000
199,Father+Mother+Child+Grandchild+Other relative,61,With children extended,1,2,0,4,0,6,0,611204060
135,Father+Mother+Child+Other relative,61,With children extended,1,2,0,0,0,6,0,611200060
23,Father+Mother+Child+Sibling,61,With children extended,1,2,3,0,0,0,0,611230000
55,Father+Mother+Child+Sibling+Grandaparent,61,With children extended,1,2,3,0,5,0,0,611230500
119,Father+Mother+Child+Sibling+Grandaparent+Grandchild,61,With children extended,1,2,3,4,5,0,0,611234500
247,Father+Mother+Child+Sibling+Grandaparent+Grandchild+Other relative,61,With children extended,1,2,3,4,5,6,0,611234560
183,Father+Mother+Child+Sibling+Grandaparent+Other relative,61,With children extended,1,2,3,0,5,6,0,611230560
87,Father+Mother+Child+Sibling+Grandchild,61,With children extended,1,2,3,4,0,0,0,611234000
215,Father+Mother+Child+Sibling+Grandchild+Other relative,61,With children extended,1,2,3,4,0,6,0,611234060
151,Father+Mother+Child+Sibling+Other relative,61,With children extended,1,2,3,0,0,6,0,611230060
6,Mother+Child,61,With children extended,0,2,0,0,0,0,0,610200000
38,Mother+Child+Grandaparent,61,With children extended,0,2,0,0,5,0,0,610200500
102,Mother+Child+Grandaparent+Grandchild,61,With children extended,0,2,0,4,5,0,0,610204500
230,Mother+Child+Grandaparent+Grandchild+Other relative,61,With children extended,0,2,0,4,5,6,0,610204560
166,Mother+Child+Grandaparent+Other relative,61,With children extended,0,2,0,0,5,6,0,610200560
70,Mother+Child+Grandchild,61,With children extended,0,2,0,4,0,0,0,610204000
198,Mother+Child+Grandchild+Other relative,61,With children extended,0,2,0,4,0,6,0,610204060
134,Mother+Child+Other relative,61,With children extended,0,2,0,0,0,6,0,610200060
22,Mother+Child+Sibling,61,With children extended,0,2,3,0,0,0,0,610230000
54,Mother+Child+Sibling+Grandaparent,61,With children extended,0,2,3,0,5,0,0,610230500
118,Mother+Child+Sibling+Grandaparent+Grandchild,61,With children extended,0,2,3,4,5,0,0,610234500
246,Mother+Child+Sibling+Grandaparent+Grandchild+Other relative,61,With children extended,0,2,3,4,5,6,0,610234560
182,Mother+Child+Sibling+Grandaparent+Other relative,61,With children extended,0,2,3,0,5,6,0,610230560
86,Mother+Child+Sibling+Grandchild,61,With children extended,0,2,3,4,0,0,0,610234000
214,Mother+Child+Sibling+Grandchild+Other relative,61,With children extended,0,2,3,4,0,6,0,610234060
150,Mother+Child+Sibling+Other relative,61,With children extended,0,2,3,0,0,6,0,610230060
356,Child+Grandaparent+Grandchild+Non-relative,62,With children extended composite,0,0,0,4,5,0,7,620004507
484,Child+Grandaparent+Grandchild+Other relative+Non-relative,62,With children extended composite,0,0,0,4,5,6,7,620004567
292,Child+Grandaparent+Non-relative,62,With children extended composite,0,0,0,0,5,0,7,620000507
420,Child+Grandaparent+Other relative+Non-relative,62,With children extended composite,0,0,0,0,5,6,7,620000567
324,Child+Grandchild+Non-relative,62,With children extended composite,0,0,0,4,0,0,7,620004007
452,Child+Grandchild+Other relative+Non-relative,62,With children extended composite,0,0,0,4,0,6,7,620004067
260,Child+Non-relative,62,With children extended composite,0,0,0,0,0,0,7,620000007
388,Child+Other relative+Non-relative,62,With children extended composite,0,0,0,0,0,6,7,620000067
372,Child+Sibling+Grandaparent+Grandchild+Non-relative,62,With children extended composite,0,0,3,4,5,0,7,620034507
500,Child+Sibling+Grandaparent+Grandchild+Other relative+Non-relative,62,With children extended composite,0,0,3,4,5,6,7,620034567
308,Child+Sibling+Grandaparent+Non-relative,62,With children extended composite,0,0,3,0,5,0,7,620030507
340,Child+Sibling+Grandchild+Non-relative,62,With children extended composite,0,0,3,4,0,0,7,620034007
468,Child+Sibling+Grandchild+Other relative+Non-relative,62,With children extended composite,0,0,3,4,0,6,7,620034067
276,Child+Sibling+Non-relative,62,With children extended composite,0,0,3,0,0,0,7,620030007
404,Child+Sibling+Other relative+Non-relative,62,With children extended composite,0,0,3,0,0,6,7,620030067
357,Father+Child+Grandaparent+Grandchild+Non-relative,62,With children extended composite,1,0,0,4,5,0,7,621004507
485,Father+Child+Grandaparent+Grandchild+Other relative+Non-relative,62,With children extended composite,1,0,0,4,5,6,7,621004567
293,Father+Child+Grandaparent+Non-relative,62,With children extended composite,1,0,0,0,5,0,7,621000507
421,Father+Child+Grandaparent+Other relative+Non-relative,62,With children extended composite,1,0,0,0,5,6,7,621000567
325,Father+Child+Grandchild+Non-relative,62,With children extended composite,1,0,0,4,0,0,7,621004007
453,Father+Child+Grandchild+Other relative+Non-relative,62,With children extended composite,1,0,0,4,0,6,7,621004067
261,Father+Child+Non-relative,62,With children extended composite,1,0,0,0,0,0,7,621000007
389,Father+Child+Other relative+Non-relative,62,With children extended composite,1,0,0,0,0,6,7,621000067
373,Father+Child+Sibling+Grandaparent+Grandchild+Non-relative,62,With children extended composite,1,0,3,4,5,0,7,621034507
501,Father+Child+Sibling+Grandaparent+Grandchild+Other relative+Non-relative,62,With children extended composite,1,0,3,4,5,6,7,621034567
309,Father+Child+Sibling+Grandaparent+Non-relative,62,With children extended composite,1,0,3,0,5,0,7,621030507
437,Father+Child+Sibling+Grandaparent+Other relative+Non-relative,62,With children extended composite,1,0,3,0,5,6,7,621030567
341,Father+Child+Sibling+Grandchild+Non-relative,62,With children extended composite,1,0,3,4,0,0,7,621034007
469,Father+Child+Sibling+Grandchild+Other relative+Non-relative,62,With children extended composite,1,0,3,4,0,6,7,621034067
277,Father+Child+Sibling+Non-relative,62,With children extended composite,1,0,3,0,0,0,7,621030007
405,Father+Child+Sibling+Other relative+Non-relative,62,With children extended composite,1,0,3,0,0,6,7,621030067
359,Father+Mother+Child+Grandaparent+Grandchild+Non-relative,62,With children extended composite,1,2,0,4,5,0,7,621204507
487,Father+Mother+Child+Grandaparent+Grandchild+Other relative+Non-relative,62,With children extended composite,1,2,0,4,5,6,7,621204567
295,Father+Mother+Child+Grandaparent+Non-relative,62,With children extended composite,1,2,0,0,5,0,7,621200507
423,Father+Mother+Child+Grandaparent+Other relative+Non-relative,62,With children extended composite,1,2,0,0,5,6,7,621200567
327,Father+Mother+Child+Grandchild+Non-relative,62,With children extended composite,1,2,0,4,0,0,7,621204007
455,Father+Mother+Child+Grandchild+Other relative+Non-relative,62,With children extended composite,1,2,0,4,0,6,7,621204067
263,Father+Mother+Child+Non-relative,62,With children extended composite,1,2,0,0,0,0,7,621200007
391,Father+Mother+Child+Other relative+Non-relative,62,With children extended composite,1,2,0,0,0,6,7,621200067
375,Father+Mother+Child+Sibling+Grandaparent+Grandchild+Non-relative,62,With children extended composite,1,2,3,4,5,0,7,621234507
503,Father+Mother+Child+Sibling+Grandaparent+Grandchild+Other relative+Non-relative,62,With children extended composite,1,2,3,4,5,6,7,621234567
311,Father+Mother+Child+Sibling+Grandaparent+Non-relative,62,With children extended composite,1,2,3,0,5,0,7,621230507
439,Father+Mother+Child+Sibling+Grandaparent+Other relative+Non-relative,62,With children extended composite,1,2,3,0,5,6,7,621230567
343,Father+Mother+Child+Sibling+Grandchild+Non-relative,62,With children extended composite,1,2,3,4,0,0,7,621234007
471,Father+Mother+Child+Sibling+Grandchild+Other relative+Non-relative,62,With children extended composite,1,2,3,4,0,6,7,621234067
279,Father+Mother+Child+Sibling+Non-relative,62,With children extended composite,1,2,3,0,0,0,7,621230007
407,Father+Mother+Child+Sibling+Other relative+Non-relative,62,With children extended composite,1,2,3,0,0,6,7,621230067
358,Mother+Child+Grandaparent+Grandchild+Non-relative,62,With children extended composite,0,2,0,4,5,0,7,620204507
486,Mother+Child+Grandaparent+Grandchild+Other relative+Non-relative,62,With children extended composite,0,2,0,4,5,6,7,620204567
294,Mother+Child+Grandaparent+Non-relative,62,With children extended composite,0,2,0,0,5,0,7,620200507
422,Mother+Child+Grandaparent+Other relative+Non-relative,62,With children extended composite,0,2,0,0,5,6,7,620200567
326,Mother+Child+Grandchild+Non-relative,62,With children extended composite,0,2,0,4,0,0,7,620204007
454,Mother+Child+Grandchild+Other relative+Non-relative,62,With children extended composite,0,2,0,4,0,6,7,620204067
262,Mother+Child+Non-relative,62,With children extended composite,0,2,0,0,0,0,7,620200007
390,Mother+Child+Other relative+Non-relative,62,With children extended composite,0,2,0,0,0,6,7,620200067
374,Mother+Child+Sibling+Grandaparent+Grandchild+Non-relative,62,With children extended composite,0,2,3,4,5,0,7,620234507
502,Mother+Child+Sibling+Grandaparent+Grandchild+Other relative+Non-relative,62,With children extended composite,0,2,3,4,5,6,7,620234567
310,Mother+Child+Sibling+Grandaparent+Non-relative,62,With children extended composite,0,2,3,0,5,0,7,620230507
438,Mother+Child+Sibling+Grandaparent+Other relative+Non-relative,62,With children extended composite,0,2,3,0,5,6,7,620230567
342,Mother+Child+Sibling+Grandchild+Non-relative,62,With children extended composite,0,2,3,4,0,0,7,620234007
470,Mother+Child+Sibling+Grandchild+Other relative+Non-relative,62,With children extended composite,0,2,3,4,0,6,7,620234067
278,Mother+Child+Sibling+Non-relative,62,With children extended composite,0,2,3,0,0,0,7,620230007
406,Mother+Child+Sibling+Other relative+Non-relative,62,With children extended composite,0,2,3,0,0,6,7,620230067
32,Grandaparent,70,Others,0,0,0,0,5,0,0,700000500
96,Grandaparent+Grandchild,70,Others,0,0,0,4,5,0,0,700004500
224,Grandaparent+Grandchild+Other relative,70,Others,0,0,0,4,5,6,0,700004560
160,Grandaparent+Other relative,70,Others,0,0,0,0,5,6,0,700000560
64,Grandchild,70,Others,0,0,0,4,0,0,0,700004000
192,Grandchild+Other relative,70,Others,0,0,0,4,0,6,0,700004060
128,Other relative,70,Others,0,0,0,0,0,6,0,700000060
16,Sibling,70,Others,0,0,3,0,0,0,0,700030000
48,Sibling+Grandaparent,70,Others,0,0,3,0,5,0,0,700030500
112,Sibling+Grandaparent+Grandchild,70,Others,0,0,3,4,5,0,0,700034500
240,Sibling+Grandaparent+Grandchild+Other relative,70,Others,0,0,3,4,5,6,0,700034560
176,Sibling+Grandaparent+Other relative,70,Others,0,0,3,0,5,6,0,700030560
80,Sibling+Grandchild,70,Others,0,0,3,4,0,0,0,700034000
208,Sibling+Grandchild+Other relative,70,Others,0,0,3,4,0,6,0,700034060
144,Sibling+Other relative,70,Others,0,0,3,0,0,6,0,700030060
352,Grandaparent+Grandchild+Non-relative,71,Others composite,0,0,0,4,5,0,7,710004507
480,Grandaparent+Grandchild+Other relative+Non-relative,71,Others composite,0,0,0,4,5,6,7,710004567
288,Grandaparent+Non-relative,71,Others composite,0,0,0,0,5,0,7,710000507
416,Grandaparent+Other relative+Non-relative,71,Others composite,0,0,0,0,5,6,7,710000567
320,Grandchild+Non-relative,71,Others composite,0,0,0,4,0,0,7,710004007
448,Grandchild+Other relative+Non-relative,71,Others composite,0,0,0,4,0,6,7,710004067
384,Other relative+Non-relative,71,Others composite,0,0,0,0,0,6,7,710000067
368,Sibling+Grandaparent+Grandchild+Non-relative,71,Others composite,0,0,3,4,5,0,7,710034507
496,Sibling+Grandaparent+Grandchild+Other relative+Non-relative,71,Others composite,0,0,3,4,5,6,7,710034567
304,Sibling+Grandaparent+Non-relative,71,Others composite,0,0,3,0,5,0,7,710030507
432,Sibling+Grandaparent+Other relative+Non-relative,71,Others composite,0,0,3,0,5,6,7,710030567
336,Sibling+Grandchild+Non-relative,71,Others composite,0,0,3,4,0,0,7,710034007
464,Sibling+Grandchild+Other relative+Non-relative,71,Others composite,0,0,3,4,0,6,7,710034067
272,Sibling+Non-relative,71,Others composite,0,0,3,0,0,0,7,710030007
400,Sibling+Other relative+Non-relative,71,Others composite,0,0,3,0,0,6,7,710030067
256,Non-relative,80,Others composite,0,0,0,0,0,0,7,800000007
